id,label,number,X,Y,local_density
c2288,Banach problem solvers,3620,25440.488735670508,23966.370049259822,248
c4020,Multi-granulation rough sets,2995,37113.59770349042,21400.295492817088,248
c4065,Enhancing DC-DC Converters,408,6982.627272846392,23390.192895049615,247
c870,Algorithmic defect prediction,3107,38114.8565202219,13452.180044259101,246
c964,Fetal ECG Extraction,2474,50393.45216359403,33169.08319778796,246
c1029,Seizure prediction,2569,49333.07424725637,28775.19059794472,246
c500,OCT Glaucoma Diagnosis,1936,40768.39683854309,51858.45630465359,245
c2250,Dermoscopy AI,1968,45579.6567794844,46300.37450140654,245
c1251,Churn prediction,2856,49671.197922312844,10991.346909339176,245
c617,Sensorless Motor Control,446,7173.277956819391,25330.20216071591,243
c2704,Optimizing Distribution Networks,388,8631.792157345357,21167.980121938745,241
c1003,Optical network optimization,3250,29289.047830128355,6557.490306227166,240
c3935,Option pricing algorithms,3017,37539.140505939016,18422.36792448799,239
c1771,MIMO relay optimization,3305,24959.239632128152,6894.2695712777095,238
c1653,Database optimization,3421,33488.33357417916,12918.29512693968,238
c3008,Haze removal advancements,1788,31069.623638345704,42389.10309322973,237
c3700,Algorithmic advancements,427,6960.391109939341,25505.46734883105,237
c774,Secure Color Encryption,2838,43889.41432643157,9049.165621613003,237
c996,Inventory Optimization,3765,19544.48373092765,13749.030772982895,236
c235,Text steganography advancements,2848,46184.94927607441,8965.33159190676,236
c632,Protein modification prediction,1658,38930.95909902292,40475.12584256763,236
c339,Vein recognition advancements,2431,53820.51084250602,35595.256286599906,236
c3421,Material analysis,1185,25679.414460241045,41209.830473539885,236
c2411,License plate recognition,1368,34551.25166291253,32595.249053845055,235
c681,MIMO Radar Optimization,79,22617.666869123485,32604.016780306945,235
c1521,Skin cancer diagnosis,2073,45290.67863489598,45796.93952055294,235
c95,AI in Education,2899,44732.42690647503,20053.833836388403,234
c1107,Optimizing Indoor VLC,3731,21119.596657544058,9936.946699820986,234
c2364,Sleep algorithm evaluation,2559,49743.86919495986,29530.05186047894,234
c2526,Lake analysis algorithms,975,19211.804855549897,47174.903621833044,233
c311,Personalized e-learning recommendations,2891,44757.10514294788,19243.95897864911,233
c2391,Protein localization prediction,1704,38986.247954996135,40120.78405479198,231
c2443,Hub Optimization,3783,18355.095027410847,14638.95828250475,231
c940,Celestial classification,989,22622.757521599466,50778.55600955352,231
c1190,Capacitor optimization,390,8414.551065828531,21117.72484128917,230
c2865,Astro-ML,990,22629.873842744808,50777.0489423644,229
c622,Jet analysis,1019,27953.15532270981,50880.9050878384,228
c184,Wind speed forecasting,317,10895.308492894157,27984.194570228792,227
c648,Automated Breast Cancer Detection,1980,43434.51296032234,46028.74480844564,227
c2685,Bus Optimization,3673,18330.467025998667,16265.753049992247,227
c256,Motor control optimization,429,6659.0411724124315,25177.171108482602,227
c827,Efficient barrier option pricing,3016,37565.18781315865,18455.944498740435,227
c282,Planetary gear analysis,461,11127.126071946546,29166.912260007335,227
c1140,Stereo vision enhancement,37,31080.483860301938,33738.123792092614,226
c2999,Enhanced classification algorithms,2661,38755.61306468814,25904.51320688334,226
c749,Enhancing Artificial Limbs,1472,43861.87492493137,28751.606580529093,226
c1154,Edge computing optimization,3220,31226.882373427063,8355.949408830078,225
c505,Retinal vessel segmentation,1922,41092.653757330234,52039.26021468164,225
c1651,Influence maximization,2827,40487.40339403786,16323.920243242996,225
c2256,Optimizing reactive power,393,8768.930889213487,21534.787077590805,224
c4063,Video watermarking,2854,46431.30060842831,9271.242156300646,224
c2041,Genetic diversity analysis,1741,36746.096333713765,44731.0901591463,223
c709,Beamforming Optimization,3323,23726.048287587306,7698.747743205327,223
c1483,Spam filtering advancements,2889,45096.21008286962,16044.380533930173,223
c746,Lung nodule detection,1957,43758.82463110823,47238.48614042526,222
c3414,Macular fluid detection,1925,40904.59883610378,52104.09348991111,222
c1923,Emotion recognition,1445,45932.65678719641,24106.312824805504,221
c4132,Algorithmic Radiation Therapy,1842,36256.62688953383,50429.88769703498,221
c1487,Enhancing Polar Codes,3308,26531.90082031501,3604.3240606616528,221
c562,MRI-based Alzheimer's detection,2496,47959.2772902704,33224.476434863966,220
c887,SDN Algorithm Optimization,3231,30450.829162377217,7883.246804211933,219
c1940,Palmprint algorithm advancements,1513,40071.882995025735,29372.386670271237,219
c2460,Iris recognition advancements,1503,40086.53259961147,31303.426730379353,219
c157,Inverter optimization,414,6531.818831726861,23125.48319141696,218
c1485,BCI Optimization,2576,48162.09303053409,27908.956368826515,218
c542,Optimization algorithms,3611,26093.659617818594,24138.281799921308,218
c988,Enhanced tracking algorithms,1326,32988.206707476544,32320.46857334568,217
c885,Queueing algorithms,3381,28205.656679210726,11319.25553186554,217
c1338,Coagulation optimization,2319,50479.43766282788,38377.49140876829,217
c719,Plasma control optimization,768,20497.373690422042,40124.78541646451,217
c2808,Course Timetabling Optimization,3849,25000.145712266727,14809.705867348728,216
c3864,Induction motor optimization,433,6974.403734595842,25169.62057620419,216
c2297,Noise reduction,839,14946.947203821715,42262.89914149945,216
c816,Coherent Optical Algorithms,3728,23750.05905406169,10754.048935626262,216
c274,Optimized feature selection,2671,36754.496615991455,25094.555463506123,215
c1631,Deep EEG Classification,2573,48335.9554412235,27956.288757988044,215
c2962,Contact Problem Solvers,607,15936.867474199777,34746.54719553849,215
c1300,Efficient molecular integrals,1205,27843.30757507129,40271.87211317464,214
c4001,LDPC Decoder Optimization,3364,25610.991764393126,10680.832373864374,214
c1405,Efficient pattern mining,2975,38130.444353386796,17965.05789684275,213
c3384,Visible Light Communication (VLC),3730,21149.034917312663,9951.042623020574,213
c686,Seismic imaging,844,14373.84691850177,42527.82043949242,212
c3781,Retina disease diagnosis,1920,41079.106036517136,52147.41433898822,212
c440,Neural network stability,230,18823.54193678822,22159.647602098026,211
c3616,Network community algorithms,2824,39943.741229999854,16578.53215051951,210
c1674,Cloud optimization,3396,32698.32634581566,9015.752602323577,209
c626,MEC Optimization,3219,31309.840810023867,7987.037768367674,208
c1889,Activity Recognition,1412,42604.71285983111,27674.063340271543,208
c1243,Brain tumor classification,1991,42866.693494569874,46385.82299676108,208
c285,HIV drug resistance,2301,52164.344931285064,38375.46464338798,208
c1174,Blockchain in Healthcare,3168,40110.28972016122,9282.926866904789,207
c1119,Reversible data hiding,2849,46266.590661992166,9153.283650918176,207
c2099,Olive oil analysis,1031,27325.527429643145,46336.179947806144,207
c3232,Optimizing Disassembly Efficiency,3696,17714.19945628015,14874.456737370796,207
c979,Enhancing Diabetic Retinopathy Screening,1918,41046.324467837505,52215.35284937662,207
c1864,Linear system algorithms,4001,26146.148469454198,27182.639944173272,206
c1943,Cervical cancer algorithms,2240,49065.13894301464,43768.665245929966,206
c2623,Skyline query optimization,3104,39411.70046204554,12590.258897687363,205
c2269,Dark matter analysis,988,22574.37459666336,50824.440118278726,205
c328,Portfolio Optimization,3010,37306.50833278902,18985.32971668226,205
c560,Steganalysis algorithms,2846,46288.47548489802,8906.899137291886,205
c1917,Heat Exchanger Optimization,496,10529.32978434439,31943.30210855323,205
c538,Efficient video coding,1352,34154.11018391682,30386.90261080296,204
c2491,Imbalanced dataset classification,2663,37806.34085708797,25074.42792638932,204
c567,Audio watermarking,2855,46774.48716480473,9358.041836537755,204
c1832,Ensemble Credit Risk,2968,38840.95940123601,19653.253736720388,203
c330,Variational Inequality Algorithms,3615,25684.069616691282,24287.53023008602,203
c759,Algorithmic pacing,2439,51398.34751559883,34560.3951978011,201
c3358,Optimizing distribution networks,389,8660.294302340593,21211.01212677706,201
c1320,MIMO Algorithm Optimization,3328,24117.700723282047,9362.945690439585,201
c2072,Optimizing PV Tracking,421,7049.374613277789,23733.614919136427,201
c17,Optimization algorithms,3895,21427.89312385428,20366.511426115754,201
c122,Energy-efficient clustering,3353,27526.322085190084,9697.77469329174,200
c1176,Optimizing PEMFCs,502,9187.899215681467,30235.1650441664,200
c27,Optimization algorithms,3547,28147.85320928669,19456.232671530568,200
c2047,AQM Algorithm Comparison,3240,29062.936649563042,7654.180881067488,199
c334,Signature verification,1408,43169.878596738985,26200.158338835972,199
c3069,Atrial Fibrillation Detection,2524,47977.16626932958,31902.31707599402,198
c1649,Multi-view clustering,1520,38874.62722817309,26406.36184025237,198
c2735,Biclustering advancements,2195,42689.56785211184,36888.195753191896,198
c991,Algorithmic optimization,447,7078.9284948060995,25604.61920868094,198
c3968,Water quality analysis,951,18759.092744856636,48355.04920034594,197
c1329,Algorithmic CNC Optimization,571,16875.4898039003,29278.131009244367,197
c72,Heart attack algorithms,2414,50373.81003377175,36791.73560040009,197
c712,Impulsive noise control,3956,21149.342290343382,27617.507029442884,197
c1130,miRNA-disease associations,2230,47732.22652264268,41036.54258706304,196
c3521,Motor optimization,428,6989.019422889163,25222.98441890606,195
c279,Fractal image compression,1299,33056.19708250653,33612.09808637113,195
c1601,XML algorithms,3099,38508.58328279692,15877.773285038755,194
c1850,Enhanced ship detection,1090,23415.490930181277,42147.57561694276,194
c2844,OCTA Revolutionizes Diabetic Retinopathy Assessment,1926,40823.323157315295,51908.609323121345,194
c187,Enhancing sEMG recognition,1473,43933.36592486821,28737.662106115095,193
c3982,Saliency detection,1377,34907.7762915662,33702.74159319865,193
c612,Enhanced recommendation systems,2815,43024.33167896836,16780.41183176924,193
c756,Peptide-MHC binding,2160,44718.87642391703,40832.48432260341,193
c1276,Gröbner base computation,3576,28862.61141465753,23577.56464769829,192
c765,Intelligent fault diagnosis,472,12487.250268766478,27762.4404667924,190
c980,Optimizing mobile crowdsensing,3405,32320.335275257337,11507.059469893233,189
c31,Efficient task offloading,3733,22085.14990616462,10673.666951190538,189
c3151,Optimizing Wireless Charging,3324,22029.3460983528,7629.215692212394,189
c1172,Multi-objective optimization,3870,22884.838561213168,19671.578162703834,188
c1456,Optimization algorithms,3605,26225.012874405053,23389.54840875118,188
c2236,Precision dosing,2312,53070.10090352987,37542.939390112,188
c609,Radar direction estimation,80,22558.486709125606,32730.26133593179,188
c959,Cardiovascular AI,2155,46437.38815770904,39487.18212088741,187
c1931,Optic disc segmentation,1917,40998.16073943509,52251.59388941902,186
c146,OCT Accuracy Evaluation,1935,40722.865311616624,51866.07537241738,186
c1203,Credit risk assessment,2967,38862.03918085017,19610.983358645957,186
c2726,Chatbot user experience,2878,46829.76562939635,20001.328211021442,186
c3871,Flash storage optimization,3419,33188.46781254218,12151.960514261435,185
c3993,Optimizing Vehicle Routing,3704,19080.109257481978,15697.535746917,185
c467,Viscoplasticity algorithms,677,16238.374355134732,35309.673530950415,184
c880,Algorithmic glucose control,2433,51538.16198742374,33933.680830710924,184
c3135,Algorithmic Enhancements,3245,29172.62899245349,6269.342912596669,183
c1492,High-speed wireless encryption,3195,37578.93788459904,10020.477853290267,183
c2712,Relay coordination optimization,397,8002.7584476452175,21383.98188851466,183
c305,NoC Optimization,3461,30951.546543703327,12174.003352415712,183
c1261,OFDM optimization,3333,23968.831910215766,10165.919317711134,183
c499,Brain tumor segmentation,1949,42814.44647042798,46483.92246549584,183
c1768,Ovarian cancer algorithms,2092,47767.818319997605,44174.31193247613,183
c546,Optimizing cellular manufacturing,3698,19054.058947716483,14826.209666139037,182
c694,Neutrosophic decision-making,3039,33836.05453104688,20478.30331470588,182
c2480,Railway optimization,3664,17724.48037098271,16208.065623615461,181
c3684,Battery optimization,452,6498.291442591948,27433.56808442476,181
c3143,Fuzzy portfolio optimization,3013,37040.33657152031,18788.69250313063,181
c1812,MRI Segmentation,2007,41622.27845505487,45193.595672019335,181
c2497,Polyp detection,1970,44291.8483895552,45878.131247314646,180
c2603,Sign language recognition,1390,41817.83558720632,28119.162995413662,180
c147,Cancer prognosis prediction,2109,46661.999890973304,42095.449705212726,180
c2452,Arabic text recognition,2882,48980.798951802615,20552.282604173455,179
c3705,Ozone measurement comparison,963,18060.432096065546,47716.18639579561,178
c2403,Unsupervised person re-identification,1571,39536.30618948976,33012.70934401311,178
c1760,Transmission Expansion Algorithms,380,9101.819736734113,21535.22905772595,178
c3485,Forgery detection,1404,41964.56822244314,26017.725620025383,177
c1001,Galaxy redshift estimation,987,22641.090317370414,50855.548096152546,177
c2833,HIV Algorithm Advancements,2304,51346.83433217791,38031.64718538738,177
c1087,Automating Healthcare with NLP,1447,47784.78717833542,25793.58746188353,177
c1208,Aerosol algorithm optimization,964,18218.579394098917,47801.8974475034,176
c1143,Algorithmic radiation therapy,1845,36535.60270738123,50392.734740861626,176
c2230,PV Algorithm Optimization,411,6679.96882102195,23200.231389821918,176
c170,Power system optimization,392,8671.534166401834,21726.625371357786,175
c720,Petri Net Analysis,3433,32431.042665920413,14600.463297512484,175
c1588,Image Enhancement,1290,31969.52448896748,34800.66788137071,174
c803,Enhancing machine translation,2908,44569.471554395976,20729.826261250564,174
c356,Soil prediction algorithms,916,22072.537733430618,47134.24388636253,174
c308,Denoising breakthrough,1286,32512.713167350477,34862.44438586022,174
c1542,Optimizing Cloud-RAN,3286,27001.98354324657,6478.829031517998,173
c3184,Boolean Control Networks,3032,35138.61463573697,18882.859938167563,173
c387,C. difficile diagnostics,2314,52841.17534990147,39483.63183466,172
c2521,Action recognition algorithms,1516,39237.79643529322,29186.771493662534,172
c451,Firefly Algorithm Enhancements,3888,20408.022945056793,20273.498285200305,172
c2445,License plate recognition,1369,34542.92906355628,32582.91214881307,172
c2427,Quantum-secured blockchains,3169,40076.752661977866,9180.948329507723,172
c2525,Improved Glaucoma Detection,1937,40781.8603063458,51621.688596798704,172
c2194,Assembly Line Optimization,3780,18531.616557763497,14238.831041448257,172
c4075,Optimizing UAV Computing,3753,18059.196633692205,11761.960562367341,171
c2876,Efficient video encoding,1351,34109.7253573771,30303.606146313323,171
c3296,PSO Scheduling,3778,18847.169932135537,14448.308315280243,171
c927,Algorithmic Surgery,2258,49438.00594741895,42293.48806334213,170
c523,Heart disease prediction,2515,46710.422030995,33332.95835702314,170
c1697,Cryptography analysis,3189,38171.12161753195,9952.327884433162,170
c384,Image Interpolation Algorithms,38,31107.12767889838,33742.97490546695,170
c1742,Optimizing relief logistics,3682,19155.601368445474,16758.70177985404,170
c2760,Spacecraft attitude control,270,15736.96501298705,23554.59613003058,170
c2815,Wireless network optimization,3289,25948.882475475344,7240.217318170242,169
c1747,AI Governance Analysis,2784,41268.27395598971,20116.37572878514,169
c1256,Algorithmic Opinion Shaping,2825,39957.685358883646,16569.405663080463,168
c873,Bipedal robot optimization,240,20126.649730749123,22963.288558860753,168
c409,Insulin optimization,2436,51451.66447734396,33813.4556488862,168
c1846,Power Analysis Efficiency,3196,37664.831827378366,10067.465830479796,168
c1264,Underwater image enhancement,1081,24848.58872186851,42159.27332734254,166
c3223,Malware detection,3201,39252.32397634063,11592.45825807553,166
c2795,Phishing AI,2832,41468.845455165196,13790.171707286188,166
c2995,Optimizing Wireless Sensor Networks,3345,27379.38007232424,8970.13606260436,165
c4141,Energy-efficient routing,3351,27694.2227894657,9592.995056977976,165
c2513,Particle analysis algorithms,1018,27967.490192029396,50765.74019201356,164
c2321,Android malware detection,3162,39990.72177811002,11289.791677382134,164
c4047,Genetic trait analysis,1639,41087.937180312234,40451.14625141978,164
c1193,Composite structure optimization,547,14514.208147622303,32266.48571830966,163
c3621,Complementarity problem solvers,3607,26183.104418098745,23555.977741914277,163
c3138,Network optimization,3249,29259.35646935682,6530.292055986938,163
c45,Chlorophyll estimation,952,18773.92666634902,48458.258246535115,163
c535,Enhanced image fusion,1259,31553.383371884647,37427.33649734826,163
c2509,Ferroptosis analysis,2110,46634.60471134387,42080.99956850411,162
c240,Hyperspectral image analysis,1064,26818.620991008356,44388.35049936552,162
c745,Eddy analysis,890,17129.004571583235,45787.29833755676,162
c2394,Algebraic Algorithms,3577,28918.928012493165,23817.661183728804,162
c511,Optical flow enhancement,1310,31999.80566156268,32993.25350176981,162
c46,Efficient converter design,415,6556.904254061064,23174.583558603867,162
c2879,Adaptive filtering,3996,24688.36392595216,26092.185365470094,162
c2837,Gene promoter prediction,1635,41587.925743683576,38631.612339200394,161
c1803,Efficient network embedding,3232,30944.418529625287,7235.9235185740545,161
c92,Sleep classification,2563,50088.059870746234,29448.68927315577,161
c2864,Optimizing vehicle networks,3729,21773.408949819954,10909.841749925657,161
c2540,Optimizing NFV Efficiency,3233,30895.26097045146,7483.539635739944,161
c153,Algorithmic Advancements,2647,35623.71553897019,26807.752251909165,160
c494,Super-resolution algorithms,1266,32599.01010184997,35674.90531604977,160
c373,Algorithmic Diagnosis,2255,49269.194220593694,42354.11417156648,160
c1925,Speaker identification advancements,1428,43489.17958030199,23876.47569292933,160
c3693,LASIK efficacy analysis,1931,40361.849645051916,52004.67832664946,160
c1131,Pulmonary Embolism Diagnosis,2292,50564.572130460205,39656.600757640495,159
c2882,Fault detection,840,14895.232240354757,42256.36330564727,159
c1416,Wireless optimization,3306,25124.4398362567,6889.17712106042,159
c2158,Optimal scheduling,3755,18913.260138106438,11756.659331485986,159
c3464,AI in Medicine,2881,46968.55239426927,20112.476900503174,159
c2731,Cloud Manufacturing Algorithms,3743,21625.24431605606,14114.928266575953,159
c930,Algorithmic optimization,3813,18034.522937265647,19232.11286110806,159
c3840,Liver image segmentation,1906,40870.66305480711,46628.91388812004,159
c459,Satellite temperature estimation,969,18566.885028644872,47370.30386047516,158
c320,STD Algorithm Efficiency,2299,51455.33014360317,38315.310853013856,158
c2140,Algorithmic defect prediction,3106,38139.59516756748,13447.506098304526,158
c3158,Bin Packing Algorithms,3846,24877.265061689148,15600.73678903845,158
c172,SST Algorithm Evaluation,956,17798.18975907346,47025.80453284005,158
c1393,Enhanced 3D measurement,1229,28106.185889824166,38015.78056959929,157
c2742,Vehicular algorithms,3734,22241.51945785319,10638.32655344364,157
c1467,Genetic project scheduling,3800,21250.086925999378,16790.10917774817,157
c3516,Enhanced error correction,3365,25586.07526132392,10732.906680140248,156
c3466,Optimizing Mutation Testing,3124,35754.72304103546,14022.865049632179,156
c2869,Optimizing stabilizers,353,8480.736638552171,22714.24718773164,156
c1999,Domain Adaptation Algorithms,1523,38229.56328983378,26970.99036724811,156
c2684,ATM Algorithm Optimization,3241,28996.735739554537,7729.835073031623,156
c2466,Secure spectrum sensing,3303,25386.773881130124,7193.700794187454,156
c284,Sentiment analysis,2862,46070.44707373033,17982.776551253704,155
c4118,Optimizing backpropagation,2712,32457.29897029305,25658.682383997122,155
c2781,Blockchain for IoV,3178,39060.7898336856,8578.744600210754,155
c245,Exoplanet detection,982,22401.191657162686,50422.32298751842,155
c3809,Seismic analysis algorithms,842,14376.498139945728,42428.87208920576,155
c221,Enhancing infrared detection,44,30053.33717736265,35869.85601142704,155
c1570,Metric refinement,2928,43301.81995219007,19090.744739178976,155
c3245,Multi-view clustering,1519,38822.81970422095,26557.33586634069,154
c1440,Cloud intrusion detection,3155,36463.99643040909,11288.262320466976,154
c3132,Spectrum Optimization,3300,25688.03682004065,7009.336187786743,154
c1719,GFR Estimation Algorithms,2361,49025.33777887102,37367.765207593686,154
c2335,Secure UAV Communications,3752,17957.69368213766,11752.39329209509,154
c3748,Fracture management,2252,48963.47503768401,42608.319730022704,154
